raw descriptor,level_3,level_2,level_1
pomegran_cranberri,red_fruit,red_fruit,fruit
redfruit,red_fruit,red_fruit,fruit
redplum,red_plum,dark_fruit,fruit
reduct,reductive,fruity,fruit
touch_reduct,reductive,fruity,fruit
reedi,reedy,leaves,vegetal
refin,refined,light_bodied,body
refresh,refreshing,high_acid,acid
residu_sugar,residual_sugar,sweet,sweetness
residu_sweet,residual_sweetness,sweet,sweetness
resin,resin,resinous,woody
resini,resin,resinous,woody
resini_oak,resin,resinous,woody
restrain,restrained,low_concentration,concentration
restraint,restrained,low_concentration,concentration
rhubarb,rhubarb,vegetable,vegetal
rich,rich,full_bodied,body
richer,rich,full_bodied,body
rind,rind,citrus_fruit,fruit
ripe,ripe,fruity,fruit
ripen,ripe,fruity,fruit
riper,ripe,fruity,fruit
ultrarip,ripe,fruity,fruit
roast_beef,roast_beef,meat,sulfides
roast_almond,roasted_almond,nutty,nutty
char_beef,roasted_meat,meat,sulfides
roast_meat,roasted_meat,meat,sulfides
robust,robust,full_bodied,body
crush_rock,rocks,rocks,earth_inorganic
crush_stone,rocks,rocks,earth_inorganic
white_stone,rocks,rocks,earth_inorganic
rocki,rocky,rocks,earth_inorganic
root,root,undergrowth,earth_organic
rooti,root,undergrowth,earth_organic
rose,rose,flowery,flower
rose_petal,rose,flowery,flower
press_rose,rose,flowery,flower
yellow_rose,rose,flowery,flower
rose_violet,rose_violet,flowery,flower
rosemari,rosemary,fresh_herbs,vegetal
rosewat,rosewater,flowery,flower
rough,rough,high_tannin,tannin
rough_edg,rough,high_tannin,tannin
round,round,low_tannin,tannin
rubber,rubber,rubber,earth_inorganic
rubberi,rubber,rubber,earth_inorganic
rubi_color,ruby_color,color,visual
rum_cake,rum_cake,baking_spices,spice
rustic,rustic,high_tannin,tannin
rusti,rusty,color,visual
saddl_leather,saddle_leather,barnyard,brettanomyces
saffron,saffron,saffron,spice
sage,sage,fresh_herbs,vegetal
sagebrush,sage,fresh_herbs,vegetal
powder_sage,sage,fresh_herbs,vegetal
grill_sage,sage,fresh_herbs,vegetal
salin,saline,salinity,salinity
sea_salt,saline,salinity,salinity
salt,salt,salinity,salinity
salti,salt,salinity,salinity
sandalwood,sandalwood,resinous,woody
sanguin,sanguine,meat,sulfides
sappi,sappy,leaves,vegetal
root_beer,sassafras,leaves,vegetal
sassafra,sassafras,leaves,vegetal
satini,satiny,low_tannin,tannin
lend_savori,savory,vegetable,vegetal
savori,savory,vegetable,vegetal
sawdust,sawdust,resinous,woody
scorch_earth,scorched_earth,soil,earth_organic
scratchi,scratchy,low_tannin,tannin
semisweet_riesl,semisweet,sweet,sweetness
sharp,sharp,high_acid,acid
shimmer,shimmer,color_intensity,visual
shine,shine,color_intensity,visual
shoe_polish,shoe_polish,baking_spices,spice
silken,silky,low_tannin,tannin
silki,silky,low_tannin,tannin
uncompl,simple,low_complexity,complexity
sinewi,sinewy,high_tannin,tannin
sizzl,sizzling,high_acid,acid
sizzl_acid,sizzling,high_acid,acid
crush_slate,slate,rocks,earth_inorganic
slate,slate,rocks,earth_inorganic
sleek,sleek,low_tannin,tannin
slick,slick,oil,earth_inorganic
slight_sour,slightly_sour,high_acid,acid
smoke,smoke,toasted,woody
smoki,smoke,toasted,woody
smoki_char,smoke,toasted,woody
whiff_smoke,smoke,toasted,woody
smoke_bacon,smoked_bacon,bacon,brettanomyces
smoke_meat,smoked_meat,toasted,woody
smoke_nut,smoked_nut,nutty,nutty
wood_smoke,smoky,toasted,woody
smooth,smooth,low_tannin,tannin
snap,snappy,high_acid,acid
snappi,snappy,high_acid,acid
soapi,soapy,oil,earth_inorganic
soft,soft,low_tannin,tannin
softer,soft,low_tannin,tannin
soil,soil,soil,earth_organic
sorbet,sorbet,fruity,fruit
sour,sour,high_acid,acid
soy,soy,caramel,caramel
soy_sauc,soy_sauce,caramel,caramel
bubbl,sparkling,sparkling,style
sparkl,sparkling,sparkling,style
sparkler,sparkling,sparkling,style
spearmint,spearmint,fresh_herbs,vegetal
spice,spice,baking_spices,spice
spici,spice,baking_spices,spice
spice_cake,spice_cake,baking_spices,spice
spiki,spiky,high_acid,acid
spring_flower,spring_flower,flowery,flower
light_spritzi,spritzy,high_acid,acid
spritz,spritzy,high_acid,acid
spritzi,spritzy,high_acid,acid
stalki,stalky,fresh_herbs,vegetal
star_anis,star_anise,baking_spices,spice
steak,steak,meat,sulfides
stainless,steel,metal,earth_inorganic
stainless_steel,steel,metal,earth_inorganic
stainlesssteel_ferment,steel,metal,earth_inorganic
steel,steel,metal,earth_inorganic
steeli,steel,metal,earth_inorganic
steeli_edg,steel,metal,earth_inorganic
steeli_miner,steel,metal,earth_inorganic
stem,stemmy,fresh_herbs,vegetal
stemmi,stemmy,fresh_herbs,vegetal
stew_plum,stewed_plum,dark_fruit,fruit
stew_prune,stewed_prune,dried_fruit,fruit
stick,sticky,very_sweet,sweetness
sticki,sticky,very_sweet,sweetness
rock,stone,rocks,earth_inorganic
stone,stone,rocks,earth_inorganic
stoni,stone,rocks,earth_inorganic
apricot_peach,stone_fruit,stone_fruit,fruit
peach_apricot,stone_fruit,stone_fruit,fruit
stone_fruit,stone_fruit,stone_fruit,fruit
stonefruit,stone_fruit,stone_fruit,fruit
stout,stout,full_bodied,body
straw,straw,color,visual
strawberri,strawberry,red_fruit,fruit
strawberri_jam,strawberry,red_fruit,fruit
strawberri_preserv,strawberry,red_fruit,fruit
wild_strawberri,strawberry,red_fruit,fruit
struck_flint,struck_flint,rocks,earth_inorganic
sturdi,sturdy,full_bodied,body
succul,succulent,full_bodied,body
sugar,sugar,very_sweet,sweetness
sugari,sugar,very_sweet,sweetness
sulfur,sulfur,sulfur,sulfides
superrich,super_rich,full_bodied,body
superrip,super_ripe,fruity,fruit
suppl,supple,low_tannin,tannin
sweat,sweat,animal,brettanomyces
sweati,sweat,animal,brettanomyces
sweet,sweet,sweet,sweetness
sweeten,sweet,sweet,sweetness
sweeter,sweet,sweet,sweetness
sweettart,sweet,sweet,sweetness
sweettast,sweet,sweet,sweetness
syrup,syrupy,full_bodied,body
syrupi,syrupy,full_bodied,body
tangerin,tangerine,citrus_fruit,fruit
tangerin_zest,tangerine_peel,citrus_fruit,fruit
tang,tangy,high_acid,acid
tangi,tangy,high_acid,acid
tannic,tannin,high_tannin,tannin
tar,tar,petroleum,earth_inorganic
tarri,tar,petroleum,earth_inorganic
tarragon,tarragon,fresh_herbs,vegetal
tart,tart,high_acid,acid
earl_grey,tea,dried_herbs,vegetal
green_tea,tea,dried_herbs,vegetal
tea,tea,dried_herbs,vegetal
tea_leaf,tea,dried_herbs,vegetal
tea_leav,tea,dried_herbs,vegetal
tealik,tea,dried_herbs,vegetal
thick,thick,full_bodied,body
thyme,thyme,fresh_herbs,vegetal
wild_thyme,thyme,fresh_herbs,vegetal
tight,tight,high_tannin,tannin
tight_knit,tight,high_tannin,tannin
tight_wound,tight,high_tannin,tannin
tighter,tight,high_tannin,tannin
ting,tingling,high_acid,acid
tingl,tingly,sparkling,style
tire,tire_rubber,rubber,earth_inorganic
tire_rubber,tire_rubber,rubber,earth_inorganic
toast,toast,toasted,woody
toast_bread,toast,toasted,woody
toasti,toast,toasted,woody
toast_almond,toasted_almond,nutty,nutty
toast_coconut,toasted_coconut,resinous,woody
toast_hazelnut,toasted_hazelnut,nutty,nutty
roast_nut,toasted_nut,nutty,nutty
toast_nut,toasted_nut,nutty,nutty
toasti_oak,toasty_oak,toasted,woody
pipe_tobacco,tobacco,dried_herbs,vegetal
tobacco,tobacco,dried_herbs,vegetal
tobacco_leaf,tobacco,dried_herbs,vegetal
toffe,toffee,caramel,caramel
crush_tomato,tomato,vegetable,vegetal
tomato_leaf,tomato,vegetable,vegetal
tomato_vine,tomato,vegetable,vegetal
tomatoey,tomato,vegetable,vegetal
tree_bark,tree_bark,resinous,woody
appl_pear,tree_fruit,tree_fruit,fruit
mango_pineappl,tropical_fruit,tropical_fruit,fruit
pineappl_mango,tropical_fruit,tropical_fruit,fruit
tropic,tropical_fruit,tropical_fruit,fruit
truffl,truffle,mushroom,earth_organic
umami,umami,vegetable,vegetal
underbrush,undergrowth,undergrowth,earth_organic
underrip,underripe,fruity,fruit
unoak,unoaked,light_bodied,body
unrip,unripe,fruity,fruit
vanilla,vanilla,resinous,woody
vanilla_bean,vanilla,resinous,woody
vanilla_coconut,vanilla_coconut,resinous,woody
vanilla_cream,vanilla_cream,resinous,woody
vanilla_dill,vanilla_dill,resinous,woody
cranberri_rhubarb,vegetal,vegetable,vegetal
veget,vegetal,vegetable,vegetal
alongsid_velveti,velvety,low_tannin,tannin
velvet,velvety,low_tannin,tannin
velveti,velvety,low_tannin,tannin
velveti_textur,velvety,low_tannin,tannin
velveti_tannin,velvety_tannin,low_tannin,tannin
vibranc,vibrant,high_acid,acid
vibrant,vibrant,high_acid,acid
vinegar,vinegar,volatile_acidity,acid
crush_violet,violet,flowery,flower
press_violet,violet,flowery,flower
violet,violet,flowery,flower
violet_rose,violet_rose,flowery,flower
viscos,viscous,full_bodied,body
viscous,viscous,full_bodied,body
voluptu,voluptuous,full_bodied,body
walnut,walnut,nutty,nutty
warm,warm,high_alcohol,alcohol
warmth,warm,high_alcohol,alcohol
warmth_alcohol,warm,high_alcohol,alcohol
watermelon,watermelon,melon,fruit
water,watery,low_concentration,concentration
wateri,watery,low_concentration,concentration
wax,wax,oil,earth_inorganic
waxi,wax,oil,earth_inorganic
weedi,weed,fresh_herbs,vegetal
weight,weight,full_bodied,body
wet_clay,wet_clay,rocks,earth_inorganic
damp_earth,wet_earth,soil,earth_organic
wet_earth,wet_earth,soil,earth_organic
wet_cement,wet_rocks,rocks,earth_inorganic
wet_rock,wet_rocks,rocks,earth_inorganic
wet_slate,wet_rocks,rocks,earth_inorganic
wet_stone,wet_rocks,rocks,earth_inorganic
white,white,color,visual
white_almond,white_almond,nutty,nutty
white_blossom,white_blossom,flowery,flower
white_currant,white_currant,red_fruit,fruit
white_flower,white_flower,flowery,flower
whitefruit,white_fruit,stone_fruit,fruit
white_pepper,white_pepper,pepper,spice
wild_berri,wild_berry,red_fruit,fruit
wild_flower,wild_flower,flowery,flower
wildflow,wildflower,flowery,flower
wood,wood,resinous,woody
woodag,wood,resinous,woody
woodi,wood,resinous,woody
woodsi,wood,resinous,woody
wood_age,wood_age,resinous,woody
wood_resin,wood_resin,resinous,woody
woodspic,wood_spice,resinous,woody
woodland_berri,woody_berry,red_fruit,fruit
yeast,yeast,yeast,microbial
yeasti,yeast,yeast,microbial
yellow,yellow,color,visual
yellow_flower,yellow_flower,flowery,flower
yellowfruit,yellow_fruit,stone_fruit,fruit
zest,zest,citrus_fruit,fruit
zesti,zesty,high_acid,acid
zing,zingy,high_acid,acid
zingi,zingy,high_acid,acid
zippi,zippy,high_acid,acid
